Titel,Omschrijving,Datum,Starttijd,Eindtijd,Prijs
Echoes of the Aurora,"Luna Vibe is een ambient synth-duo dat bekend staat om hun etherische soundscapes en visuele spektakel. Tijdens 'Echoes of the Aurora' nemen ze het publiek mee op een muzikale reis onder een digitale noorderlichthemel, met lasers, rook en holografische projecties die de sfeer van een poolnacht oproepen.",2025-10-03,20:00,23:00,42
Neon Jungle Jam,"The Electric Fauna brengt een explosie van kleur en ritme met hun eclectische mix van funk, afrobeat en elektronische grooves. Het concert vindt plaats in een tropisch decor vol LED-planten, dansers in dierenkostuums en interactieve lichtinstallaties.",2025-10-05,21:00,00:30,38
Symphony of Shadows,"Nocturne Ensemble is een klassiek orkest dat zich specialiseert in duistere filmmuziek en barokke composities. 'Symphony of Shadows' is een theatrale ervaring in een gotische concertzaal, waar schaduwen dansen op de muren en het publiek wordt ondergedompeld in melancholische grandeur.",2025-10-07,19:30,22:00,55
Solar Pulse Festival,"DJ Helios organiseert een openluchtfestival dat draait op zonne-energie. Met een line-up van trance, house en progressive acts, biedt het evenement een futuristische ervaring met UV-verlichting, interactieve zonnepanelen en een podium dat meebeweegt op de beats.",2025-10-10,18:00,02:00,60
Midnight Mirage,"Sahara Bloom combineert traditionele Arabische instrumenten met moderne wereldmuziek. Tijdens 'Midnight Mirage' transformeert de zaal in een woestijnstad met tapijten, lantaarns en buikdansers, terwijl hypnotiserende klanken de nacht vullen.",2025-10-12,20:00,23:30,47
Retroverse Live,"Cassette Kings brengen de jaren 80 terug met hun synthpop en retro visuals. 'Retroverse Live' is een nostalgische trip met neonlichten, VHS-projecties en dansbare klassiekers die het publiek laten herleven wat ooit was.",2025-10-14,20:00,00:00,35
Celestial Strings,"Aria Nova is een vioolduo dat klassieke muziek combineert met astronomie. Hun concert 'Celestial Strings' vindt plaats onder een koepel met sterrenprojecties, waarbij elke compositie correspondeert met een sterrenbeeld.",2025-10-16,19:00,21:30,50
Bassquake,"Subterra is een dubstep collectief dat bekend staat om hun diepe bassen en fysieke shows. 'Bassquake' is een ondergrondse rave waar de vloer letterlijk trilt, ondersteund door subwoofers, stroboscopen en een industriële setting.",2025-10-18,22:00,03:00,40
Flamenco Fusion Night,"Rosa del Fuego is een vurige flamenco-zangeres die samenwerkt met jazzmuzikanten en elektronische producers. 'Flamenco Fusion Night' is een avond vol passie, ritme en verrassende crossovers tussen traditie en innovatie.",2025-10-20,20:00,23:00,44
Cyberfolk Chronicles,"Pixel & Pine zijn pioniers in het combineren van traditionele folk met digitale beats. Tijdens 'Cyberfolk Chronicles' brengen ze verhalen uit oude tijden tot leven met moderne visuals, augmented reality en een akoestisch-elektronische sound.",2025-10-22,19:30,22:30,36
Moonlight Melodies,"Selene & Co brengen akoestische ballads in een intieme setting onder maanlichtprojecties. 'Moonlight Melodies' is een rustgevende avond vol poëtische teksten en zachte klanken die resoneren met de nacht.",2025-10-24,20:00,22:30,39
Galactic Groove,"Astrobeat is een space disco-band die retro-futuristische muziek combineert met holografische visuals. 'Galactic Groove' is een dansfeest in een sterrenstelsel vol glitter, lasers en intergalactische vibes.",2025-10-26,21:00,01:00,52
Nordic Echo,"Fjordtone brengt Scandinavische folk in een ijzige setting met live visuals van fjorden, sneeuw en aurora borealis. 'Nordic Echo' is een serene muzikale ervaring die de kou van het noorden voelbaar maakt.",2025-10-28,19:00,21:30,41
Carnival of Sound,"The Sonic Parade is een brassband die EDM-elementen integreert in hun optredens. 'Carnival of Sound' is een explosie van ritme, kleur en energie, met dansers, confetti en een parade-achtige sfeer.",2025-10-30,20:00,00:00,45
Haunted Harmony,"Phantom Chords presenteert een Halloweenconcert met spookachtige visuals, klassieke horror-soundtracks en theatrale kostuums. 'Haunted Harmony' is een muzikale griezelervaring voor de durfals.",2025-10-31,20:00,23:59,48
Vinyl Vortex,"DJ Needle draait uitsluitend op originele vinyls en neemt je mee op een analoge reis door de geschiedenis van house, funk en disco. 'Vinyl Vortex' is een eerbetoon aan de kunst van het draaien.",2025-11-02,22:00,02:00,33
Ethereal Voices,"Choir of Mist is een experimenteel koor dat zingt in een zaal gevuld met mist en lichtstralen. 'Ethereal Voices' is een betoverende ervaring waarbij de stemmen lijken te zweven door de ruimte.",2025-11-04,19:30,21:30,37
Desert Beats,"Mirage Machine brengt techno in een woestijnsetting met zandprojecties, hittegolven en hypnotiserende ritmes. 'Desert Beats' is een zinderende nacht vol elektronische extase.",2025-11-06,21:00,01:00,46
Cosmic Jazz Night,"Nebula Notes is een jazztrio dat speelt onder een sterrenhemel in een planetarium. 'Cosmic Jazz Night' combineert improvisatie met astronomie voor een unieke luisterervaring.",2025-11-08,20:00,23:00,49
Urban Pulse,"MetroRhythm brengt hiphop, spoken word en beats in een metrostijl decor. 'Urban Pulse' is een rauwe, ritmische avond vol stedelijke energie en maatschappelijke reflectie.",2025-11-10,20:00,23:00,35
Dreamwave Sessions,"Reverie is een chillwave-project dat surrealistische visuals combineert met dromerige synths. 'Dreamwave Sessions' is een audiovisuele droomwereld waarin je kunt wegzweven.",2025-11-12,20:00,00:00,40
Celtic Fire,"Brannagh is een Keltische rockband die traditionele instrumenten combineert met vuurshows. 'Celtic Fire' is een vurige viering van mythes, legendes en ritme.",2025-11-14,20:00,23:30,43
Ice & Echo,"Glacia speelt ambient muziek in een ijsthema met kristallen visuals en koude geluidsgolven. 'Ice & Echo' is een bevroren sonische ervaring.",2025-11-16,19:00,21:00,38
Tropical Bassline,"DJ Mango mixt reggaeton, tropical house en dancehall in een zomerse setting vol palmbomen en strandprojecties. 'Tropical Bassline' is een feest voor de zonaanbidders.",2025-11-18,21:00,01:00,36
Opera Reimagined,"Vox Lux brengt moderne opera met digitale visuals, augmented reality en elektronische invloeden. 'Opera Reimagined' is een futuristische herinterpretatie van klassieke zangkunst.",2025-11-20,19:30,22:00,55
Synth Safari,"Analog Animals is een synthpopband die dierengeluiden en jungle visuals integreert. 'Synth Safari' is een muzikale expeditie door een elektronische wildernis.",2025-11-22,20:00,23:00,42
Harmonic Horizon,"Horizon Collective fuseert jazz, soul en funk in een harmonieuze mix. 'Harmonic Horizon' is een avond vol groove, improvisatie en emotie.",2025-11-24,20:00,23:00,39
Beats & Botanica,"FloraGroove organiseert een housefeest in een botanische tuin met lichtgevende planten en ritmische bloei. 'Beats & Botanica' is een dansfeest in het groen.",2025-11-26,21:00,01:00,44
Noir Notes,"Black Velvet speelt smooth jazz in een film noir-sfeer met rook, schaduwen en melancholische melodieën. 'Noir Notes' is een stijlvolle avond vol mysterie.",2025-11-28,20:00,23:00,47
Electro Carnival,"Circuit Parade is een elektronische muziekgroep die circusacts combineert met beats. 'Electro Carnival' is een visueel spektakel met acrobaten, vuurspuwers en een pulserende soundtrack.",2025-11-30,20:00,00:00,50
Mystic Rhythms,"Oracle Sound brengt spirituele trance en ambient muziek in een setting vol kaarslicht, geometrische visuals en meditatieve dans. 'Mystic Rhythms' is een ritueel in geluid.",2025-12-02,21:00,01:00,48
Indie Iceberg,"The Glaciers zijn een indie rockband die optreedt in een ijzige setting met visuals van gletsjers en poollandschappen. 'Indie Iceberg' is een koel maar krachtig concert.",2025-12-04,20:00,23:00,37
Jungle Jazz,"TropicTone is een jazzband die tropische ritmes en visuals combineert. 'Jungle Jazz' is een zwoele avond vol improvisatie en exotische flair.",2025-12-06,20:00,23:00,40
Sonic Bloom,"Petal Pulse brengt elektronische muziek in een decor van bloemenprojecties en geurinstallaties. 'Sonic Bloom' is een multisensoriële ervaring.",2025-12-08,21:00,00:30,43
Galactic Opera,"Stararia is een operagezelschap dat klassieke zang combineert met sci-fi visuals. 'Galactic Opera' is een interstellaire reis door aria's en sterren.",2025-12-10,19:30,22:00,56
Chillwave Cathedral,"Echo Temple speelt chillwave in een oude kerk, waarbij lichtstralen door glas-in-loodramen dansen op de muziek. 'Chillwave Cathedral' is een spirituele soundscape.",2025-12-12,20:00,23:00,45
Bass & Blizzard,"Frostbyte is een dubstep-act die optreedt in een sneeuwthema met koude rook, ijsprojecties en bevroren beats. 'Bass & Blizzard' is een ijskoude rave.",2025-12-14,22:00,02:00,39
Acoustic Aurora,"Northern Strings is een akoestisch ensemble dat speelt onder een lichtshow geïnspireerd op het poollicht. 'Acoustic Aurora' is een intieme en magische avond.",2025-12-16,19:00,21:30,41
Funkadelic Forest,"Groove Grove is een funkband die optreedt in een bosdecor met lichtgevende bomen en dansende dieren. 'Funkadelic Forest' is een wild feest in het groen.",2025-12-18,20:00,23:00,44
Crystal Beats,"Prismatik is een EDM-act die kristalvormige visuals en laserlicht combineert met pulserende beats. 'Crystal Beats' is een glinsterende dansnacht.",2025-12-20,21:00,01:00,47
Retro Rave,"Timewarp DJs brengen een 90s rave revival met glowsticks, oldschool beats en retro visuals. 'Retro Rave' is een feest van herkenning en energie.",2025-12-22,22:00,03:00,35
Winter Waltz,"Snowfall Ensemble speelt klassieke walsen in een winterdecor met sneeuwmachines en ijsbeelden. 'Winter Waltz' is een elegante dansavond.",2025-12-24,19:00,21:30,52
Midnight Masquerade,"Masked Melody organiseert een gemaskerd bal met live muziek, theatrale kostuums en mysterieuze sfeer. 'Midnight Masquerade' is een betoverende nacht.",2025-12-26,20:00,00:00,50
Sonic Solstice,"Equinox brengt ambient trance op de winterzonnewende met visuals van sterren, planeten en seizoensveranderingen. 'Sonic Solstice' is een kosmische viering.",2025-12-28,21:00,01:00,46
Fire & Ice Festival,"PyroGlace combineert rock en techno met vuurshows en ijsbeelden. 'Fire & Ice Festival' is een spectaculair contrast van elementen.",2025-12-30,20:00,02:00,58
New Year’s Pulse,"DJ Nova organiseert een countdown rave met lasershow, confetti en een knallende line-up. 'New Year’s Pulse' is hét feest om het jaar mee af te sluiten.",2025-12-31,22:00,04:00,65
Aurora Afterparty,"Chill Collective speelt ambient sets op nieuwjaarsdag in een rustgevende setting met zachte visuals. 'Aurora Afterparty' is een ontspannen begin van het jaar.",2026-01-01,18:00,22:00,30
Electro Elegance,"Velvet Circuit brengt stijlvolle elektronische muziek in een art deco setting met fluwelen visuals en elegante beats. 'Electro Elegance' is een chic dansfeest.",2026-01-03,20:00,23:00,42
Cosmic Choir,"Stellar Voices is een koor dat optreedt in een planetarium met galactische visuals en hemelse harmonieën. 'Cosmic Choir' is een ruimtelijke zangervaring.",2026-01-05,19:30,21:30,39
Synth & Strings,"Harmonia combineert synthesizers met strijkers in een concert dat klassieke en moderne klanken samenbrengt. 'Synth & Strings' is een harmonieuze fusie van werelden.",2026-01-07,20:00,23:00,48